County,FIPS,Population,Total,TotalVotersPerCapita,Week Ending,Democrats,Republicans,Libertarians,Green,NoLabels,Constitution,JusticeForAll,WeThePeople,Unaffiliated,White,Black,AmericanIndian,NativeHawaiian,Asian,Multiracial,Undesignated,Other,Hispanic,Male,Female,UnDisclosedGender
JOHNSTON,101,241955,155900,0.6443346903349797,02/03/2024,40041,57691,1222,48,297,0,0,0,56601,104796,25963,432,17,949,645,16266,6832,8933,67546,77675,10679
JONES,103,9401,7196,0.7654504839910647,02/03/2024,2487,2347,35,0,8,0,0,0,2319,4451,2048,12,1,20,23,547,94,105,3091,3550,555
LEE,105,67059,39668,0.5915387941961556,02/03/2024,12475,12030,289,9,35,0,0,0,14830,25433,7362,140,6,256,272,3758,2441,3478,16643,19879,3146
LENOIR,107,54895,38052,0.6931778850532836,02/03/2024,16426,10502,147,12,74,0,0,0,10891,18881,14708,64,7,101,126,3328,837,889,15393,19317,3342
LINCOLN,109,95675,67864,0.709318003658218,02/03/2024,11763,32143,434,15,60,0,0,0,23449,57163,3659,87,2,324,151,4812,1666,2147,30156,32776,4932
MACON,113,38412,28345,0.737920441528689,02/03/2024,4945,12492,195,3,5,0,0,0,10705,25959,200,63,0,117,63,1424,519,579,13111,14749,485
MADISON,115,22071,17101,0.7748176339993657,02/03/2024,4979,4832,119,10,20,0,0,0,7141,15384,130,27,0,47,44,1264,205,193,7528,8115,1458
MARTIN,117,21447,16017,0.7468177367463981,02/03/2024,7624,3520,53,2,4,0,0,0,4814,8577,6287,28,0,25,52,843,205,194,6699,8484,834
MCDOWELL,111,44893,29997,0.6681888044906779,02/03/2024,5570,13138,185,6,28,0,0,0,11070,27148,826,36,1,138,128,1144,576,642,13619,15048,1330
MECKLENBURG,119,1163701,789422,0.6783718498136548,02/03/2024,323548,156213,5968,264,935,0,0,0,302494,405210,240585,2067,63,22716,5130,71411,42240,45670,331641,398150,59631
MITCHELL,121,14999,11239,0.7493166211080738,02/03/2024,1050,6491,43,3,6,0,0,0,3646,10105,40,12,1,15,14,961,91,145,4989,5463,787
MONTGOMERY,123,26085,17090,0.6551658041019743,02/03/2024,5051,6312,84,2,13,0,0,0,5628,11961,2957,46,0,186,44,1267,629,832,7524,8472,1094
MOORE,125,106898,75451,0.7058223727291437,02/03/2024,15006,31152,629,14,44,0,0,0,28606,60644,7457,351,6,638,229,3937,2189,1836,33132,38894,3425
NASH,127,96551,67673,0.7009041853528187,02/03/2024,28368,19475,310,8,78,0,0,0,19434,34159,26223,348,4,337,282,4412,1908,1875,28546,34864,4263
NEW HANOVER,129,238852,181029,0.7579128497982014,02/03/2024,50529,53950,1473,54,142,0,0,0,74881,138858,19117,394,14,1467,841,15917,4421,4218,75087,88343,17599
NORTHAMPTON,131,16715,12816,0.7667364642536644,02/03/2024,7773,1596,39,4,12,0,0,0,3392,5096,7008,35,0,7,21,560,89,68,5573,6609,634
ONSLOW,133,213676,126482,0.5919335816844195,02/03/2024,24261,48087,1819,33,171,0,0,0,52111,86008,19180,472,32,1752,833,11455,6750,7910,54068,62272,10142
ORANGE,135,150626,109093,0.7242640712758753,02/03/2024,50482,13330,559,29,43,0,0,0,44650,75627,11559,233,1,5162,1033,11313,4165,4361,44827,53205,11061
PAMLICO,137,12423,10288,0.8281413507204379,02/03/2024,2803,4138,60,5,7,0,0,0,3275,8003,1437,27,0,39,16,655,111,118,4563,5122,603
PASQUOTANK,139,41444,30047,0.7250024128945083,02/03/2024,10983,7671,218,7,34,0,0,0,11134,16967,9941,40,2,158,170,2086,683,437,12879,15109,2059
PENDER,141,68521,49142,0.7171815939638942,02/03/2024,10852,19700,428,12,50,0,0,0,18100,37805,5787,126,5,219,149,3809,1242,1353,21479,23807,3856
PERQUIMANS,143,13377,10309,0.7706511175898931,02/03/2024,2922,3589,57,2,10,0,0,0,3729,7614,1978,19,2,20,25,542,109,65,4518,5215,576
PERSON,145,39737,27712,0.697385308402748,02/03/2024,9452,8214,126,7,18,0,0,0,9895,18013,6894,118,2,58,102,1990,535,537,11931,13918,1863
PITT,147,175119,122491,0.6994729298362827,02/03/2024,48233,30872,784,34,123,0,0,0,42445,65195,40567,246,8,1068,707,10284,4416,3537,49474,61962,11055
POLK,149,20060,16653,0.8301595214356929,02/03/2024,3605,6233,113,5,12,0,0,0,6685,14764,583,9,2,52,37,938,268,309,7390,8729,534
RANDOLPH,151,147458,95848,0.650002034477614,02/03/2024,14916,49893,606,8,74,0,0,0,30351,78105,6078,314,7,711,220,6782,3631,4060,42429,47387,6032
RICHMOND,153,42324,28530,0.6740856251772044,02/03/2024,11833,7575,131,6,29,0,0,0,8956,16774,8853,416,0,153,59,1470,805,620,12497,14728,1305
ROBESON,155,117365,72887,0.6210284156264645,02/03/2024,34770,13711,244,9,93,0,0,0,24060,20335,19018,25112,21,305,463,4683,2950,2274,31248,38873,2766
ROCKINGHAM,157,92518,61568,0.6654705030372468,02/03/2024,17458,24406,333,14,38,0,0,0,19319,43061,11088,100,0,212,167,5731,1209,1296,27422,32076,2070
ROWAN,159,151661,97183,0.6407909746078425,02/03/2024,22315,41629,626,16,135,0,0,0,32462,70726,15302,179,6,509,340,7376,2745,3201,41981,47839,7363
RUTHERFORD,161,65507,46502,0.7098783336132016,02/03/2024,9816,20081,259,6,30,0,0,0,16310,37837,3981,55,0,135,118,3496,880,935,20124,23134,3244
SAMPSON,163,59601,38338,0.6432442408684418,02/03/2024,12620,15509,178,3,64,0,0,0,9964,22242,10039,536,0,95,130,2992,2304,3014,16649,19743,1946
SCOTLAND,165,34376,21677,0.6305852920642309,02/03/2024,9902,4657,74,6,24,0,0,0,7014,9725,8115,1710,10,163,92,1594,268,231,8914,11273,1490
STANLY,167,65699,44496,0.677270582505061,02/03/2024,8427,21180,214,19,75,0,0,0,14581,34366,4602,77,3,434,65,4169,780,749,18835,21343,4318
STOKES,169,45532,32435,0.7123561451287007,02/03/2024,5174,17021,216,11,20,0,0,0,9993,27915,1189,51,1,63,77,2747,392,467,15438,16940,57
SURRY,171,71462,47790,0.6687470263916487,02/03/2024,9150,22325,244,15,36,0,0,0,16020,40593,1689,47,2,126,95,3773,1465,2162,21084,23622,3084
SWAIN,173,13916,9809,0.7048720896809428,02/03/2024,2760,3104,68,5,3,0,0,0,3869,7490,99,1545,1,35,30,486,123,83,4452,4960,397
TRANSYLVANIA,175,33549,26264,0.7828549286118811,02/03/2024,5663,8459,152,3,13,0,0,0,11974,23440,724,50,1,88,75,1571,315,268,11493,13246,1525
TYRRELL,177,3461,2252,0.6506789945102571,02/03/2024,996,449,8,0,0,0,0,0,799,1384,624,3,0,18,5,177,41,40,988,1081,183
UNION,179,256452,178566,0.6962940433297459,02/03/2024,40008,70655,1178,45,166,0,0,0,66514,125129,19924,523,10,4201,787,19760,8232,9104,76688,85045,16833
VANCE,181,42301,28308,0.6692040377296045,02/03/2024,16083,5026,104,7,29,0,0,0,7059,11333,14008,59,1,92,104,1994,717,774,11626,14852,1830
WAKE,183,1190275,823334,0.6917174602507824,02/03/2024,287062,176796,6332,256,831,0,0,0,352057,505020,147405,2115,57,34207,5522,87326,41682,36425,347601,398683,77050
WARREN,185,18836,13165,0.6989275854746231,02/03/2024,7749,2283,43,1,11,0,0,0,3078,5448,6221,527,2,26,44,725,172,127,5642,6798,725
WASHINGTON,187,10713,7954,0.7424624288247923,02/03/2024,4527,1408,24,0,1,0,0,0,1994,3620,3732,9,0,18,16,471,88,66,3342,4166,446
WATAUGA,189,54748,44448,0.8118652736173011,02/03/2024,11328,12462,400,45,10,0,0,0,20203,38752,851,61,11,377,462,3144,790,1274,19166,22215,3067
WAYNE,191,118686,74646,0.6289368586016885,02/03/2024,26716,25574,444,16,154,0,0,0,21742,41432,23350,133,4,523,343,5256,3605,3211,31381,37720,5545
WILKES,193,66013,44151,0.6688228076288004,02/03/2024,6752,24169,211,6,30,0,0,0,12983,38612,1590,48,0,132,119,2842,808,986,19529,21591,3031
WILSON,195,78970,55219,0.6992402178042294,02/03/2024,24743,13933,245,10,63,0,0,0,16225,27043,21851,115,0,281,168,3749,2012,1942,23094,29022,3103
YADKIN,197,37774,24960,0.6607719595488961,02/03/2024,2952,14192,139,3,18,0,0,0,7656,21723,730,26,1,59,37,1613,771,1018,11181,12231,1548
YANCEY,199,18938,14321,0.7562044566480093,02/03/2024,3719,5411,86,1,13,0,0,0,5091,13072,75,25,1,28,25,951,144,158,6444,7041,836
ALAMANCE,001,179165,113830,0.6353361426617922,02/10/2024,37104,36697,701,25,51,0,0,0,39252,73975,23546,260,10,1077,669,9589,4704,6060,47517,57577,8736
ALEXANDER,003,36473,25212,0.6912510624297425,02/10/2024,4143,12209,113,3,19,0,0,0,8725,22107,965,35,1,153,35,1543,373,508,11440,12198,1574
ALLEGHANY,005,11342,7974,0.7030506083583142,02/10/2024,1740,3353,43,0,6,0,0,0,2832,7088,74,7,0,6,15,649,135,238,3550,3828,596
ANSON,007,21897,16243,0.7417911129378454,02/10/2024,8870,3141,57,2,11,0,0,0,4162,6879,6506,32,1,97,22,2519,187,143,6190,7460,2593
ASHE,009,27063,20246,0.7481062705538928,02/10/2024,3721,9272,106,2,10,0,0,0,7135,18637,117,24,2,52,19,1172,223,336,9124,10050,1072
AVERY,011,17561,12822,0.730140652582427,02/10/2024,1295,7346,65,1,10,0,0,0,4105,11645,62,19,0,25,19,933,119,116,5729,6284,809
BEAUFORT,013,44481,34306,0.7712506463433826,02/10/2024,10276,12869,135,3,16,0,0,0,11007,23975,7189,41,2,61,70,2254,714,683,14700,17254,2352
BERTIE,015,16922,12649,0.7474884765394162,02/10/2024,7668,1699,37,1,0,0,0,0,3244,4600,7115,19,1,32,18,795,69,55,5270,6587,792
BLADEN,017,29484,22626,0.7673992673992674,02/10/2024,9211,5501,88,2,11,0,0,0,7813,12666,7543,407,3,24,94,1378,511,615,9864,11614,1148
BRUNSWICK,019,159964,132107,0.8258545672776375,02/10/2024,27303,53372,714,18,76,0,0,0,50624,109963,9010,385,9,521,255,9745,2219,2116,56228,65006,10873
BUNCOMBE,021,275901,208743,0.7565866017158328,02/10/2024,72682,44886,1659,112,162,0,0,0,89242,173655,10219,342,45,1556,990,16417,5519,5408,89095,104393,15255
BURKE,023,88338,59031,0.6682401684439313,02/10/2024,12540,23653,360,8,27,0,0,0,22443,49331,3073,90,1,947,126,4083,1380,1422,25890,28852,4289
CABARRUS,025,240016,155685,0.64864425704953,02/10/2024,43766,51511,1224,68,185,0,0,0,58931,97782,31583,400,10,3558,744,14721,6887,7416,65394,76585,13706
CALDWELL,027,80574,53945,0.6695087745426564,02/10/2024,9310,26604,372,5,30,0,0,0,17624,46146,2557,72,0,187,133,3909,941,1165,23894,26462,3589
CAMDEN,029,11137,8535,0.7663643710155338,02/10/2024,1411,3228,76,0,12,0,0,0,3808,6997,936,10,1,35,18,383,155,64,3910,4193,432
CARTERET,031,69615,56727,0.8148674854557207,02/10/2024,9314,26056,358,7,35,0,0,0,20957,49083,2238,105,7,296,136,4112,750,752,24603,27851,4273
CASWELL,033,22807,15250,0.6686543605033543,02/10/2024,5960,4274,62,2,7,0,0,0,4945,9438,4558,23,1,30,49,937,214,236,6686,7608,956
CATAWBA,035,164645,112193,0.681423669106259,02/10/2024,20172,48461,674,19,137,0,0,0,42730,87190,8755,145,4,2528,344,8711,4516,4985,48972,54517,8704
CHATHAM,037,81624,60943,0.7466308928746447,02/10/2024,21049,14398,328,13,47,0,0,0,25108,44754,5884,125,3,1068,258,6856,1995,2357,25110,29236,6597
CHEROKEE,039,29959,23397,0.7809673220067426,02/10/2024,3312,11998,151,1,9,0,0,0,7926,21793,249,121,1,88,32,880,233,247,11041,11871,485
CHOWAN,041,13891,10393,0.7481822762940034,02/10/2024,3640,3163,43,1,7,0,0,0,3539,6771,2871,13,5,16,24,579,114,88,4510,5503,380
CLAY,043,11864,9864,0.8314227916385705,02/10/2024,1381,4803,61,0,2,0,0,0,3617,9263,42,16,0,17,10,438,78,91,4508,4947,409
CLEVELAND,045,101378,67913,0.6698987946102705,02/10/2024,19806,26129,410,13,50,0,0,0,21505,47301,13339,90,4,316,220,5488,1155,1084,28969,33563,5381
COLUMBUS,047,50121,36568,0.7295943815965363,02/10/2024,14062,10881,114,4,6,0,0,0,11501,22121,10332,946,4,63,88,2413,601,565,15694,18592,2282
CRAVEN,049,102391,76462,0.7467648523796037,02/10/2024,19973,28343,594,21,96,0,0,0,27435,53250,14280,180,8,1194,291,4901,2358,2207,32787,38860,4815
CUMBERLAND,051,337890,213756,0.6326200834591139,02/10/2024,87186,49066,1836,77,289,0,0,0,75302,86564,85232,2372,66,3436,2065,20793,13228,13836,86140,107121,20495
CURRITUCK,053,31593,24247,0.7674801380052543,02/10/2024,3365,10222,219,4,32,0,0,0,10405,21011,1195,46,3,105,75,1350,462,258,11130,11785,1332
DARE,055,38110,33350,0.875098399370244,02/10/2024,7522,11455,260,11,25,0,0,0,14077,30150,559,37,1,128,62,1819,594,362,15030,16528,1792
DAVIDSON,057,174804,116555,0.6667753598315828,02/10/2024,21328,56159,708,18,139,0,0,0,38203,92616,10739,243,7,860,264,8881,2945,3319,50638,57315,8602
DAVIE,059,44599,32598,0.7309132491759905,02/10/2024,4660,16567,160,10,42,0,0,0,11159,27434,1931,45,0,142,81,2302,663,882,14456,16117,2025
DUPLIN,061,49520,31555,0.6372172859450727,02/10/2024,10754,9929,133,9,27,0,0,0,10703,18407,8135,72,1,69,134,3112,1625,2425,13389,15672,2494
DURHAM,063,336892,235223,0.698214858174133,02/10/2024,124618,23415,1193,76,240,0,0,0,85681,113717,73201,567,36,8557,2676,26548,9921,11731,92925,117980,24318
EDGECOMBE,065,48832,34307,0.7025516055045872,02/10/2024,20485,6628,105,4,35,0,0,0,7050,12027,19318,58,2,47,114,2134,607,631,13919,18271,2117
FORSYTH,067,392921,264833,0.6740108062434942,02/10/2024,97325,71141,1686,88,276,0,0,0,94317,159671,65282,514,30,3419,1525,23724,10668,13730,108713,133735,22385
FRANKLIN,069,77001,52114,0.6767964052414903,02/10/2024,16804,16281,390,9,49,0,0,0,18581,32998,12036,141,3,312,189,4713,1722,1952,21837,25033,5244
GASTON,071,237242,156807,0.6609580091214877,02/10/2024,40566,60567,1184,34,241,0,0,0,54215,108834,27625,331,4,1360,661,12610,5382,6098,66792,78600,11415
GATES,073,10343,8224,0.7951271391279126,02/10/2024,3423,2110,38,2,7,0,0,0,2644,5118,2441,16,0,11,40,515,83,53,3587,4086,551
GRAHAM,075,8052,6109,0.7586934923000497,02/10/2024,1087,3079,33,0,1,0,0,0,1909,5542,9,263,1,19,5,230,40,39,2860,3039,210
GRANVILLE,077,62192,40692,0.6542963725237972,02/10/2024,15953,11054,222,7,55,0,0,0,13401,23161,11518,78,3,179,191,4270,1292,1218,16542,19160,4990
GREENE,079,20530,10954,0.5335606429615197,02/10/2024,4825,2534,29,1,13,0,0,0,3552,5972,3769,12,0,18,24,681,478,521,4733,5651,570
GUILFORD,081,549866,377737,0.6869619143573161,02/10/2024,155043,88621,2213,98,289,0,0,0,131473,193709,125492,957,28,9745,2673,30462,14671,14229,158460,197289,21988
HALIFAX,083,47298,35817,0.7572624635291133,02/10/2024,20337,4870,103,3,41,0,0,0,10463,13727,18377,1041,5,173,138,1946,410,315,15313,18613,1891
HARNETT,085,141477,86489,0.6113290499515822,02/10/2024,24019,31042,803,33,126,0,0,0,30466,53498,17658,474,17,662,508,9027,4645,5492,36045,42262,8182
HAYWOOD,087,62969,46141,0.7327573885562737,02/10/2024,11964,16263,310,14,26,0,0,0,17564,42580,477,115,0,154,97,2184,534,624,20800,23658,1683
HENDERSON,089,119230,89630,0.7517403338086052,02/10/2024,17159,32202,625,28,76,0,0,0,39540,77775,2392,145,10,536,391,5933,2448,2971,38481,45683,5466
HERTFORD,091,19453,13790,0.7088880892407341,02/10/2024,8781,1571,38,2,9,0,0,0,3389,4462,8285,93,2,41,55,708,144,99,5694,7430,666
HOKE,093,54446,33705,0.6190537413216766,02/10/2024,13784,7472,311,16,25,0,0,0,12097,13243,12687,1971,16,348,254,2813,2373,2469,14601,17428,1676
HYDE,095,4607,3179,0.6900369003690037,02/10/2024,1365,682,16,0,0,0,0,0,1116,2383,569,0,0,1,8,173,45,66,1412,1603,164
IREDELL,097,199710,139217,0.6970957888938961,02/10/2024,27377,57305,901,29,123,0,0,0,53482,108260,14935,222,5,1520,451,9552,4272,4962,61445,68088,9684
JACKSON,099,44574,30020,0.6734867860187553,02/10/2024,8431,8548,256,16,11,0,0,0,12758,24609,625,1571,6,244,183,2136,646,764,13104,14691,2225
JOHNSTON,101,241955,156059,0.6449918373251224,02/10/2024,40032,57763,1222,47,311,0,0,0,56684,104889,26003,432,17,950,648,16257,6863,8951,67620,77747,10692
JONES,103,9401,7200,0.7658759706414211,02/10/2024,2486,2349,35,0,8,0,0,0,2322,4454,2048,12,1,20,23,548,94,105,3094,3550,556
LEE,105,67059,39708,0.5921352838545162,02/10/2024,12460,12055,288,9,35,0,0,0,14861,25453,7371,141,6,258,271,3759,2449,3485,16667,19894,3147
LENOIR,107,54895,38106,0.6941615812004737,02/10/2024,16396,10511,147,12,77,0,0,0,10963,18892,14720,64,7,101,127,3354,841,893,15412,19327,3367
LINCOLN,109,95675,67885,0.709537496733734,02/10/2024,11747,32157,434,15,62,0,0,0,23470,57173,3657,87,2,324,151,4820,1671,2151,30161,32773,4951
MACON,113,38412,28363,0.738389045090076,02/10/2024,4928,12508,195,3,5,0,0,0,10724,25981,201,63,0,118,64,1418,518,579,13124,14755,484
MADISON,115,22071,17119,0.775633183815867,02/10/2024,4967,4845,119,10,20,0,0,0,7158,15389,131,27,0,47,45,1275,205,194,7532,8117,1470
MARTIN,117,21447,16017,0.7468177367463981,02/10/2024,7612,3522,52,2,4,0,0,0,4825,8583,6285,28,0,25,52,838,206,195,6701,8487,829
MCDOWELL,111,44893,30011,0.6685006571180362,02/10/2024,5538,13161,185,6,30,0,0,0,11091,27163,825,36,1,138,127,1143,578,644,13622,15059,1330
MECKLENBURG,119,1163701,789624,0.6785454339216002,02/10/2024,323349,156190,5957,269,985,0,0,0,302874,405136,240649,2071,62,22729,5120,71537,42320,45729,331672,398144,59808
MITCHELL,121,14999,11270,0.7513834255617041,02/10/2024,1051,6510,44,3,6,0,0,0,3656,10119,41,12,1,15,14,977,91,145,4994,5473,803
MONTGOMERY,123,26085,17106,0.655779183438758,02/10/2024,5053,6325,84,2,13,0,0,0,5629,11969,2963,46,0,186,44,1264,634,837,7536,8479,1091
MOORE,125,106898,75530,0.7065613949746488,02/10/2024,15006,31194,628,14,49,0,0,0,28639,60713,7459,355,6,636,230,3935,2196,1840,33167,38940,3423
NASH,127,96551,67673,0.7009041853528187,02/10/2024,28324,19486,312,10,82,0,0,0,19459,34157,26217,348,4,337,282,4417,1911,1880,28557,34844,4272
NEW HANOVER,129,238852,181192,0.7585952807596336,02/10/2024,50509,53998,1474,56,150,0,0,0,75005,138984,19125,395,14,1467,841,15934,4432,4239,75151,88419,17622
NORTHAMPTON,131,16715,12763,0.7635656595871971,02/10/2024,7727,1579,39,4,12,0,0,0,3402,5070,6980,35,0,7,20,562,89,68,5536,6590,637
ONSLOW,133,213676,126712,0.593009977723282,02/10/2024,24239,48151,1821,34,177,0,0,0,52290,86163,19216,471,33,1746,833,11465,6785,7935,54166,62380,10166
ORANGE,135,150626,109208,0.7250275516843042,02/10/2024,50462,13351,560,29,46,0,0,0,44760,75684,11570,234,1,5170,1036,11335,4178,4378,44876,53251,11081
PAMLICO,137,12423,10293,0.8285438299927553,02/10/2024,2795,4151,60,5,7,0,0,0,3275,8013,1436,27,0,40,16,650,111,118,4568,5124,601
PASQUOTANK,139,41444,30072,0.7256056365215713,02/10/2024,10980,7683,218,7,35,0,0,0,11149,16979,9944,40,2,158,170,2095,684,438,12887,15114,2071
PENDER,141,68521,49223,0.7183637133141665,02/10/2024,10848,19752,424,13,53,0,0,0,18133,37877,5790,125,5,219,148,3811,1248,1356,21519,23837,3867
PERQUIMANS,143,13377,10300,0.7699783209987292,02/10/2024,2914,3590,58,2,12,0,0,0,3724,7606,1976,19,2,21,24,542,110,66,4519,5205,576
PERSON,145,39737,27724,0.6976872939577724,02/10/2024,9447,8223,125,7,18,0,0,0,9904,18014,6899,118,2,58,103,1994,536,538,11939,13917,1868
PITT,147,175119,122515,0.6996099794996545,02/10/2024,48202,30884,787,35,133,0,0,0,42474,65204,40583,245,8,1069,708,10275,4423,3542,49488,61980,11047
POLK,149,20060,16663,0.8306580259222333,02/10/2024,3591,6241,113,5,12,0,0,0,6701,14771,585,9,2,52,37,936,271,311,7393,8735,535
RANDOLPH,151,147458,95861,0.6500901951742191,02/10/2024,14912,49897,604,9,75,0,0,0,30364,78110,6087,314,7,711,220,6780,3632,4059,42432,47395,6034
RICHMOND,153,42324,28519,0.6738257253567715,02/10/2024,11816,7576,131,6,29,0,0,0,8961,16770,8852,414,0,151,59,1470,803,621,12489,14724,1306
ROBESON,155,117365,72955,0.6216078047117966,02/10/2024,34659,13733,244,10,95,0,0,0,24214,20327,19042,25116,25,306,466,4715,2958,2283,31279,38882,2794
ROCKINGHAM,157,92518,61597,0.6657839555545948,02/10/2024,17420,24420,334,14,41,0,0,0,19368,43072,11089,101,0,216,169,5735,1215,1305,27437,32073,2087
ROWAN,159,151661,97258,0.6412854985790678,02/10/2024,22321,41633,627,16,144,0,0,0,32517,70763,15325,179,6,510,338,7380,2757,3211,42004,47875,7379
RUTHERFORD,161,65507,46538,0.7104278932022532,02/10/2024,9786,20107,256,6,33,0,0,0,16350,37870,3983,55,0,136,118,3495,881,936,20142,23150,3246
SAMPSON,163,59601,38319,0.6429254542709015,02/10/2024,12594,15505,178,3,66,0,0,0,9973,22239,10027,536,0,95,130,2985,2307,3014,16645,19726,1948
SCOTLAND,165,34376,21716,0.6317198045147777,02/10/2024,9872,4664,78,8,24,0,0,0,7070,9734,8124,1714,10,163,94,1608,269,233,8922,11289,1505
STANLY,167,65699,44525,0.6777119895279989,02/10/2024,8402,21209,215,19,80,0,0,0,14600,34385,4604,77,3,434,65,4174,783,750,18851,21355,4319
STOKES,169,45532,32459,0.712883246947202,02/10/2024,5156,17039,215,11,21,0,0,0,10017,27930,1191,51,1,63,77,2753,393,469,15449,16951,59
SURRY,171,71462,47842,0.6694746858470236,02/10/2024,9142,22347,243,15,38,0,0,0,16057,40635,1692,47,2,126,95,3768,1477,2174,21106,23654,3082
SWAIN,173,13916,9810,0.7049439494107502,02/10/2024,2751,3102,67,5,5,0,0,0,3880,7491,98,1547,1,35,30,485,123,83,4452,4959,399
TRANSYLVANIA,175,33549,26293,0.783719335896748,02/10/2024,5647,8468,152,3,14,0,0,0,12009,23446,727,50,1,88,75,1590,316,269,11496,13252,1545
TYRRELL,177,3461,2297,0.6636810170470963,02/10/2024,1001,463,8,0,1,0,0,0,824,1409,637,3,0,20,5,177,46,43,1009,1100,188
UNION,179,256452,178546,0.6962160560260789,02/10/2024,39926,70664,1181,47,175,0,0,0,66553,125044,19919,523,10,4205,787,19816,8242,9112,76649,85001,16896
VANCE,181,42301,28323,0.6695586392756673,02/10/2024,16076,5033,103,7,29,0,0,0,7075,11336,14016,59,1,92,104,1997,718,775,11633,14855,1835
WAKE,183,1190275,823756,0.6920720001680284,02/10/2024,286940,176809,6324,263,875,0,0,0,352545,505072,147539,2121,58,34243,5517,87419,41787,36497,347715,398888,77153
WARREN,185,18836,13180,0.6997239328944574,02/10/2024,7746,2290,42,1,12,0,0,0,3089,5455,6224,527,2,26,44,729,173,128,5648,6804,728
WASHINGTON,187,10713,7949,0.7419957061514049,02/10/2024,4517,1413,24,0,1,0,0,0,1994,3617,3729,9,0,18,16,472,88,66,3341,4161,447
WATAUGA,189,54748,44429,0.8115182289764009,02/10/2024,11296,12467,400,47,10,0,0,0,20209,38737,848,61,11,376,460,3146,790,1272,19148,22213,3068
WAYNE,191,118686,74708,0.6294592454038387,02/10/2024,26712,25613,444,16,161,0,0,0,21762,41472,23360,133,4,522,343,5260,3614,3223,31408,37745,5555
WILKES,193,66013,44204,0.6696256797903444,02/10/2024,6734,24215,210,5,31,0,0,0,13009,38658,1592,48,0,132,119,2848,807,988,19561,21608,3035
WILSON,195,78970,55233,0.6994175003165759,02/10/2024,24722,13942,247,10,66,0,0,0,16246,27058,21850,115,0,281,167,3747,2015,1946,23099,29032,3102
YADKIN,197,37774,24980,0.6613014242600731,02/10/2024,2945,14209,139,4,17,0,0,0,7666,21741,730,25,1,59,37,1611,776,1020,11192,12240,1548
YANCEY,199,18938,14331,0.7567324955116697,02/10/2024,3709,5413,86,1,13,0,0,0,5109,13080,75,25,1,28,26,951,145,158,6448,7046,837
ALAMANCE,001,179165,113826,0.635313816872715,02/17/2024,37095,36697,700,25,51,0,0,0,39258,73968,23545,259,10,1077,670,9585,4712,6062,47517,57570,8739
ALEXANDER,003,36473,25222,0.6915252378471746,02/17/2024,4128,12214,113,3,19,0,0,0,8745,22111,967,35,1,154,37,1544,373,512,11442,12202,1578
ALLEGHANY,005,11342,7969,0.7026097690001764,02/17/2024,1736,3353,43,0,6,0,0,0,2831,7083,74,7,0,6,15,649,135,238,3547,3826,596
ANSON,007,21897,16244,0.7418367812942412,02/17/2024,8867,3143,57,2,11,0,0,0,4164,6880,6504,32,1,97,22,2521,187,143,6190,7460,2594
ASHE,009,27063,20264,0.7487713852861841,02/17/2024,3722,9278,106,2,10,0,0,0,7146,18653,117,24,2,52,18,1174,224,336,9131,10060,1073
AVERY,011,17561,12825,0.7303114856784921,02/17/2024,1295,7349,65,1,10,0,0,0,4105,11647,62,19,0,25,19,934,119,116,5730,6285,810
BEAUFORT,013,44481,34305,0.7712281648344237,02/17/2024,10269,12869,135,3,16,0,0,0,11013,23975,7187,41,2,61,69,2253,717,686,14698,17256,2351
BERTIE,015,16922,12642,0.7470748138517905,02/17/2024,7661,1702,37,1,0,0,0,0,3241,4599,7110,19,1,32,18,793,70,56,5269,6583,790
BLADEN,017,29484,22609,0.7668226834893501,02/17/2024,9209,5498,88,2,11,0,0,0,7801,12657,7540,407,3,24,94,1373,511,614,9856,11609,1144
BRUNSWICK,019,159964,132141,0.8260671151008977,02/17/2024,27300,53395,714,18,78,0,0,0,50636,109994,9013,384,9,521,254,9745,2221,2116,56242,65016,10883
BUNCOMBE,021,275901,208697,0.756419875245106,02/17/2024,72644,44873,1658,113,168,0,0,0,89241,173608,10216,342,45,1554,989,16422,5521,5416,89072,104369,15256
BURKE,023,88338,59027,0.6681948878172473,02/17/2024,12527,23649,360,8,27,0,0,0,22456,49328,3071,90,1,948,127,4082,1380,1422,25887,28851,4289
CABARRUS,025,240016,155625,0.6483942737150856,02/17/2024,43732,51486,1226,68,187,0,0,0,58926,97731,31562,401,10,3560,744,14723,6894,7423,65355,76555,13715
CALDWELL,027,80574,53963,0.6697321716682801,02/17/2024,9307,26617,372,5,31,0,0,0,17631,46153,2557,72,0,187,133,3922,939,1166,23900,26468,3595
CAMDEN,029,11137,8535,0.7663643710155338,02/17/2024,1412,3226,76,0,12,0,0,0,3809,6997,936,10,1,35,18,382,156,64,3910,4194,431
CARTERET,031,69615,56706,0.8145658263305322,02/17/2024,9309,26038,359,7,36,0,0,0,20957,49065,2236,105,7,295,136,4112,750,751,24597,27835,4274
CASWELL,033,22807,15237,0.6680843600648924,02/17/2024,5950,4274,62,2,7,0,0,0,4942,9431,4553,23,1,30,49,936,214,236,6677,7606,954
CATAWBA,035,164645,112172,0.6812961219593672,02/17/2024,20162,48455,673,19,137,0,0,0,42726,87166,8753,145,4,2528,344,8714,4518,4988,48955,54509,8708
